,loan_amnt,int_rate,annual_inc,dti
38146,7300.0,15.61,50000.0,9.36
45145,6000.0,6.03,20000.0,13.93
75250,10000.0,9.17,50000.0,24.24
44557,28000.0,7.12,280000.0,12.54
25267,19200.0,19.24,75000.0,20.93
36208,10000.0,14.49,88000.0,19.74
15901,7800.0,11.99,55000.0,27.71
40016,10000.0,11.67,45000.0,22.35
35499,7000.0,12.49,45000.0,25.57
86987,8000.0,6.03,65000.0,25.02
38325,9600.0,8.39,41000.0,17.86
14729,24000.0,8.67,105000.0,12.17
76429,12075.0,18.24,51182.0,14.21
41151,6000.0,6.03,82000.0,9.98
2283,8000.0,12.99,97000.0,16.07
57604,16800.0,9.17,131000.0,2.39
23663,1000.0,6.99,33000.0,27.93
58685,15000.0,12.99,50000.0,8.93
62043,24000.0,6.49,72500.0,14.85
73661,8000.0,7.69,50000.0,3.22
41616,8400.0,13.98,84000.0,2.56
17217,20000.0,11.99,53337.0,27.23
96537,21000.0,13.35,140000.0,9.97
52551,8000.0,12.49,50000.0,31.64
89425,9600.0,7.12,130000.0,5.82
5684,6000.0,8.67,115000.0,5.44
28168,23350.0,21.99,72000.0,17.0
93727,18000.0,9.17,98000.0,9.25
3110,27000.0,9.49,150000.0,7.1
1653,4000.0,14.31,35000.0,13.44
74402,15000.0,7.69,45000.0,18.29
42731,28775.0,13.35,60000.0,31.03
38212,17650.0,23.43,37500.0,14.46
45725,15000.0,10.15,88000.0,25.99
23237,18000.0,13.66,53000.0,19.65
13071,8000.0,11.99,25487.77,23.07
73766,10000.0,16.99,85000.0,16.0
84450,26250.0,13.98,116000.0,13.65
6894,21000.0,8.19,82000.0,21.09
41434,21075.0,12.49,225000.0,10.04
21538,7000.0,8.19,80000.0,17.75
8023,10650.0,15.59,140000.0,5.26
23535,12000.0,12.39,48000.0,18.42
79875,9450.0,14.99,21000.0,17.31
25689,12500.0,7.49,54800.0,20.17
76807,19000.0,12.99,72000.0,16.7
80456,20000.0,16.29,70000.0,22.33
97548,12500.0,10.99,35000.0,18.89
67341,6500.0,9.17,41000.0,24.15
74098,12800.0,13.35,58000.0,13.7
35765,15000.0,11.67,120000.0,18.17
21858,5000.0,14.31,50000.0,14.91
29074,15000.0,13.66,50000.0,21.56
55268,20000.0,12.99,146300.0,7.92
40764,5000.0,14.49,38000.0,5.69
50545,12500.0,14.99,95097.0,26.43
76596,11850.0,18.99,110000.0,1.64
19621,9950.0,19.99,33280.0,21.49
50364,12000.0,18.24,50000.0,23.45
48824,3000.0,16.99,36000.0,20.8
16805,13000.0,6.99,81000.0,6.22
31814,12000.0,15.99,44470.0,23.35
53782,6175.0,16.99,28600.0,19.89
71689,2000.0,12.49,100000.0,13.37
72983,6500.0,14.99,26000.0,30.01
19102,7875.0,17.86,44000.0,13.72
13582,16575.0,12.99,84000.0,32.93
4109,12000.0,8.19,65000.0,7.45
28646,21000.0,14.99,82000.0,16.45
80949,10000.0,10.99,105000.0,14.01
22572,18000.0,14.31,70000.0,12.74
49915,5000.0,13.35,70000.0,16.92
35079,6400.0,8.39,114000.0,5.23
98513,5000.0,15.61,55000.0,8.92
85235,15000.0,10.15,49000.0,37.67
56576,20000.0,6.03,100000.0,14.78
38732,4125.0,16.29,10000.0,17.41
91081,8400.0,6.03,51000.0,25.59
66066,21600.0,22.15,54080.0,14.14
48590,16000.0,8.39,250000.0,11.06
53246,21000.0,10.15,91020.0,23.32
61963,20000.0,15.61,50000.0,25.12
14049,15000.0,12.39,42000.0,24.57
74473,15300.0,20.99,34000.0,11.79
77576,19000.0,6.03,82000.0,18.29
28862,4500.0,10.49,62554.0,11.34
55647,25000.0,7.69,80000.0,20.6
63883,14000.0,10.15,46000.0,24.47
54823,7000.0,13.35,125000.0,10.76
26841,27400.0,25.83,76296.0,22.19
8918,12500.0,10.49,100000.0,15.14
85519,8600.0,12.49,20620.0,16.08
13534,10000.0,12.39,32800.0,6.67
38280,12575.0,16.29,72900.0,19.75
49037,24000.0,15.61,65000.0,14.77
